model,reward_mean_last_iter,len_mean_last_iter,mean_time_this_iter_s,mean_learn_time_ms,mean_learn_throughput,mean_sample_time_ms,mean_sample_throughput,mean_load_time_ms,mean_load_throughput,mean_update_time_ms,mean_cpu_util_percent,mean_ram_util_percent
no_gpus_8_workers,-20.925,1081.675,612.7293431758881,606222.6072941176,7.917941176470587,5052.809058823528,950.8448235294118,1583.0912352941177,3247.1031176470588,8.233176470588235,16.391495794226287,13.71266599703574
gpu0_8_workers,-20.87012987012987,1073.753246753247,32.587832142325006,25589.419411764706,188.94164705882352,7433.816941176471,646.2860588235294,1614.974588235294,3169.8206470588234,7.363941176470588,7.0927518093268755,39.473978342493325
gpu1_8_workers,-20.94871794871795,1094.7307692307693,28.11593270301819,18189.86888235294,263.8875294117647,8342.396294117647,575.4934117647058,1834.2752352941177,2760.2342352941178,7.209176470588236,7.337115384615385,29.553329562594268
both_gpus_8_workers,-21.0,1018.277108433735,31.16365476215587,25486.452117647063,189.37823529411764,5857.11711764706,820.2570000000001,1630.1890588235292,3131.5670588235294,7.971588235294117,6.9400418687559595,35.57196057704266
both_gpus_16_workers,-20.054054054054053,1275.4864864864865,40.90983374913534,34238.011066666666,187.9178666666667,7905.098466666666,843.8961333333333,2725.0742666666674,2808.458933333334,8.037200000000002,7.623081984134307,60.555355648765406
gpu0_driver_8_workers,-21.0,1018.7682926829268,22.733681580599615,17592.71876470588,275.43688235294115,5191.294176470588,924.9482352941176,1611.9329411764706,3176.8605294117647,7.819647058823529,9.274682486631017,15.691755793226381
gpu1_driver_8_workers,-20.96296296296296,1040.0123456790122,32.44549162247602,25998.822882352943,184.62823529411764,5133.0787058823535,935.3929999999999,1612.2169411764705,3180.6782352941177,8.445588235294117,7.6212339507608045,14.632789919656929
both_gpus_driver_8_workers,-20.56338028169014,1153.1408450704223,22.86329990274766,18331.679,266.9016470588235,5169.004529411765,929.1774705882353,1569.0248235294116,3281.4174705882356,8.450117647058823,11.033823529411764,17.467446524064172
gpu0_no_cpus_8_workers,-21.0,1018.309523809524,32.888845317503986,25175.022764705882,191.45482352941175,7652.762176470588,627.569705882353,1621.603294117647,3158.2688823529415,7.765294117647058,6.023673613756325,38.2840915274528
gpu1_no_cpus_8_workers,-21.0,1019.1219512195122,34.92695328768562,26034.979529411765,184.37364705882354,7545.153823529412,636.2495882352941,1614.8554705882352,3165.963411764706,8.35794117647059,5.707472146305331,28.308645194247916
both_gpus_no_cpus_8_workers,-20.82278481012658,1059.379746835443,31.093203081804162,25614.94517647059,188.6164705882353,5795.321294117647,829.1364705882354,1612.3458235294117,3174.249294117647,9.05835294117647,6.094123588829471,34.568294711824116
gpu0_cpu0_8_workers,-20.9875,1025.0625,68.34944788147422,30999.23347058824,155.93623529411764,37765.05547058824,127.27182352941178,2182.9593529411763,2314.336117647059,8.944235294117647,3.9074319934159227,37.960807505992086
gpu1_cpu0_8_workers,-20.9875,1025.0625,68.34944788147422,30999.23347058824,155.93623529411764,37765.05547058824,127.27182352941178,2182.9593529411763,2314.336117647059,8.944235294117647,3.9074319934159227,37.960807505992086
